tool,description,href,toolbox,toolset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Subtypes
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Subtypes
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Subtypes
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Table
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Table
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Table
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Table
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Table
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Table
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Tile Cache
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Tile Cache
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Tile Cache
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Tile Cache
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Tile Cache
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Tile Cache
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Topology
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Topology
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Topology
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Topology
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Topology
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Topology
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Versions
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Versions
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Versions
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Versions
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Versions
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Versions
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Management toolbox,Workspace
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Management toolbox,Workspace
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Management toolbox,Workspace
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Management toolbox,Workspace
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Management toolbox,Workspace
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Management toolbox,Workspace
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Reviewer toolbox,Data Validation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Reviewer toolbox,Data Validation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Reviewer toolbox,Data Validation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Reviewer toolbox,Data Validation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Reviewer toolbox,Data Validation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Reviewer toolbox,Data Validation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Data Reviewer toolbox,Result Management
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Data Reviewer toolbox,Result Management
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Data Reviewer toolbox,Result Management
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Data Reviewer toolbox,Result Management
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Data Reviewer toolbox,Result Management
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Data Reviewer toolbox,Result Management
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Defense  toolbox,Conversion
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Defense  toolbox,Conversion
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Defense  toolbox,Conversion
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Defense  toolbox,Conversion
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Defense  toolbox,Conversion
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Defense  toolbox,Conversion
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Defense  toolbox,Distance and Direction
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Defense  toolbox,Distance and Direction
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Defense  toolbox,Distance and Direction
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Defense  toolbox,Distance and Direction
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Defense  toolbox,Distance and Direction
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Defense  toolbox,Distance and Direction
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Defense  toolbox,Gridded Reference Graphic
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Defense  toolbox,Gridded Reference Graphic
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Defense  toolbox,Gridded Reference Graphic
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Defense  toolbox,Gridded Reference Graphic
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Defense  toolbox,Gridded Reference Graphic
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Defense  toolbox,Gridded Reference Graphic
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Defense  toolbox,Visibility
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Defense  toolbox,Visibility
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Defense  toolbox,Visibility
